	text_a	text_b	label
10899	She believes she hit the right posterooccipital area of her head on an open cabinet which initially caused a lot of pain.	 the patient has a history of head trauma	entailment
10902	HISTORY OF PRESENT ILLNESS:  The patient is a 38 year-old male who presented on [**9-23**] with hematuria and right sided flank pain found to have a 5 to 6 mm right kidney mass and a 2 to 2.5 cm left lower lung nodule.	 Patient has a renal mass	entailment
10904	HISTORY OF PRESENT ILLNESS:  The patient is a 38 year-old male who presented on [**9-23**] with hematuria and right sided flank pain found to have a 5 to 6 mm right kidney mass and a 2 to 2.5 cm left lower lung nodule.	 Patient has metastatic disease	neutral
10905	No LOC or incontinence with the fall.	 The patient suffered a fall	entailment
10908	The surgery was called off and the patient was transferred to the [**Hospital Unit Name 152**] because the aneasthesiologist did not feel he would be able to be extubated. .	 the patient has a difficult extubation	entailment
10909	The surgery was called off and the patient was transferred to the [**Hospital Unit Name 152**] because the aneasthesiologist did not feel he would be able to be extubated. .	 the patient is a good surgical candidate	contradiction
10910	The surgery was called off and the patient was transferred to the [**Hospital Unit Name 152**] because the aneasthesiologist did not feel he would be able to be extubated. .	 the patient is obese	neutral
10911	An ultrasound five days prior to delivery showed severe oligohydramnios with rupture of membranes.	 Patient has abnormal fetal ultrasound	entailment
10912	An ultrasound five days prior to delivery showed severe oligohydramnios with rupture of membranes.	 Patient has a normal amount of amniotic fluid	contradiction
10913	An ultrasound five days prior to delivery showed severe oligohydramnios with rupture of membranes.	 Patient has a high risk pregnancy	neutral
10914	There was no evidence of hydrops on initial physical exam.	 The patient does not have edema. 	entailment
10915	There was no evidence of hydrops on initial physical exam.	 The patient has edema. 	contradiction
10920	Also, had bright red blood per rectum at that time.	 Blood was identified at the level of the rectum. 	entailment
10922	Also, had bright red blood per rectum at that time.	 Bright blood per rectum is the finding of a lower GI bleed. 	neutral
10923	Received nitro SL with improvement in pain.	 Patient has angina	entailment
10927	She was discharged to [**Hospital1 1483**] on [**2-4**]. .	 The patient was not hospitalized. 	contradiction
10928	She was discharged to [**Hospital1 1483**] on [**2-4**]. .	 The patient was discharged to a skilled nursing facility. 	neutral
10931	"Chronic low back pain from ""ruptured disc"" 30 yrs ago 11."	 the patient has a history of spinal fusion	neutral
10932	She received IVFs and was observed to be hemodynamically stable overnight, resulting in decreased lactate.	 The patient was volume resuscitated. 	entailment
10933	She received IVFs and was observed to be hemodynamically stable overnight, resulting in decreased lactate.	 The patient has a normal lactate. 	contradiction
10934	She received IVFs and was observed to be hemodynamically stable overnight, resulting in decreased lactate.	 The patient was septic. 	neutral
10935	Hyperlipidemia ([**9-6**] CHOL 293, LDL 196, refusing lipid lowering therapy).	 The patient would benefit from a statin. 	entailment
10939	She also has extensive bone disease for which she has been on Zometa, as well as medical therapy.	 the patient has normal bones	contradiction
10940	She also has extensive bone disease for which she has been on Zometa, as well as medical therapy.	 the patient has multiple myeloma	neutral
10941	L4-5 compression fracture.	 Abnormality in the vertebra in the lumbar spine	entailment
10943	L4-5 compression fracture.	 History of osteoporosis and back pain	neutral
10945	congenital hepatic fibrosis polycystic kidney disease portal hypertension with splenomegaly one cord of grade [**12-1**] varices in the lower third of the esophagus Gastric varices Old portal vein thrombosis history of DVTs in the setting of taking oral contraceptives history of cholecystectomy asthma history of back surgery with S1 procedure with noted chronic back pain.	 Patient has normal GFR	contradiction
10946	congenital hepatic fibrosis polycystic kidney disease portal hypertension with splenomegaly one cord of grade [**12-1**] varices in the lower third of the esophagus Gastric varices Old portal vein thrombosis history of DVTs in the setting of taking oral contraceptives history of cholecystectomy asthma history of back surgery with S1 procedure with noted chronic back pain.	 Patient has elevated Cr	neutral
10947	She was referred to neurooncology, who treated her with 3600 [**Doctor Last Name 14**] of radiation.	 She received radiation	entailment
10949	She was referred to neurooncology, who treated her with 3600 [**Doctor Last Name 14**] of radiation.	 She has a brain tumor	neutral
10953	The patient had a left internal mammary artery to the left anterior descending artery, a saphenous vein graft to the diagonal, with a jump graft to the first obtuse marginal.	 the patient is status post CABG	entailment
10954	The patient had a left internal mammary artery to the left anterior descending artery, a saphenous vein graft to the diagonal, with a jump graft to the first obtuse marginal.	 the patient has normal coronary arteries	contradiction
10955	The patient had a left internal mammary artery to the left anterior descending artery, a saphenous vein graft to the diagonal, with a jump graft to the first obtuse marginal.	 the patient has chest pain	neutral
10959	She presented to [**Hospital6 535**] where a head CT showed a large left-sided tumor.	 the patient has a brain tumor	entailment
10960	She presented to [**Hospital6 535**] where a head CT showed a large left-sided tumor.	 the patient has a normal head CT	contradiction
10961	She presented to [**Hospital6 535**] where a head CT showed a large left-sided tumor.	 the patient has a GBM	neutral
10962	He also had hematuria, but no evidence of BK virus.	 The has red blood cells in his urine. 	entailment
10965	-Severe Aortic stenosis [Severely thickened/deformed aortic valve leaflets. Severe AS (AoVA <0.8cm2). Moderate (2+) AR] -Moderate to severe MR [**Name13 (STitle) 26259**] to severe TR -H/O small bowel obstruction s/p resection [**2730-5-7**] -dCHF and mild sCHF with EF 45-50% [Mild global RV free wall hypokinesis. Mild global LV hypokinesis]. -?	 The patient has multiple a cardiac problems. 	entailment
10968	History of pneumonia 3.	 Patient has had prior infection	entailment
10969	History of pneumonia 3.	 Patient has negative past medical history	contradiction
10970	History of pneumonia 3.	 Patient has URI	neutral
10971	Was found to have a supratherapeutic INR @ 4.8 and was reversed with 2 Units FFP and IV vitamin K.	 The patient is anticoagulated.	entailment
10972	Was found to have a supratherapeutic INR @ 4.8 and was reversed with 2 Units FFP and IV vitamin K.	 The patient has a subtherapeutic INR.	contradiction
10973	Was found to have a supratherapeutic INR @ 4.8 and was reversed with 2 Units FFP and IV vitamin K.	 The patient has afib.	neutral
10975	Afib - [**1-23**] rate controlled on atenolol	 The patient has a regular heart rate. 	contradiction
10976	Afib - [**1-23**] rate controlled on atenolol	 The patient is taking anticoagulation medication. 	neutral
10978	Mitral valve replacement, question rheumatic heart disease, in [**2527**].	 No history of cardiac surgery 	contradiction
10979	Mitral valve replacement, question rheumatic heart disease, in [**2527**].	 History of strep throat	neutral
10980	The proximal left anterior descending coronary artery lesion showed evidence of thrombus.	 Coronary heart disease 	entailment
10981	The proximal left anterior descending coronary artery lesion showed evidence of thrombus.	 No cardiac abnormalities 	contradiction
10982	The proximal left anterior descending coronary artery lesion showed evidence of thrombus.	 History of obesity and smoking	neutral
10984	HCT 25 (baseline 30, guiac negative, LDH, T bili okay).	 The patient has a normal hemaglobin. 	contradiction
10985	HCT 25 (baseline 30, guiac negative, LDH, T bili okay).	 The patient does not have a GI bleed. 	neutral
10987	Her SVT was controlled with increasing doses of metoprolol and digoxin but she became bradycardic.	 The patient has a normal cardiac rate and rhythm. 	contradiction
